pizza_id,order_id,order_date,order_time,day_of_week,is_weekend,month_name,quarter,time_of_day,pizza_name_id,pizza_name,pizza_category,pizza_size,pizza_ingredients,is_vegetarian,quantity,order_size,unit_price,total_price,revenue_category
16,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,green_garden_s,The Green Garden Pizza,Veggie,S,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",Veg,1,Small,12.0,12.0,Standard
17,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,20.5,20.5,Premium
18,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_l,The Italian Supreme Pizza,Supreme,L,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,20.75,20.75,Premium
19,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_s,The Italian Supreme Pizza,Supreme,S,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,12.5,12.5,Standard
20,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,mexicana_s,The Mexicana Pizza,Veggie,S,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,12.0,12.0,Standard
21,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,spicy_ital_l,The Spicy Italian Pizza,Supreme,L,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini Verdi, Garlic",Veg,1,Small,20.75,20.75,Premium
22,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,spin_pesto_l,The Spinach Pesto Pizza,Veggie,L,"Spinach, Artichokes, Tomatoes, Sun-Dried Tomatoes, Garlic, Pesto Sauce",Veg,1,Small,20.75,20.75,Premium
23,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,veggie_veg_s,The Vegetables + Vegetables Pizza,Veggie,S,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",Veg,1,Small,12.0,12.0,Standard
24,10,2015-01-01,13:00:15,Thursday,Weekday,Jan,Q1,Lunch,mexicana_l,The Mexicana Pizza,Veggie,L,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,20.25,20.25,Premium
25,10,2015-01-01,13:00:15,Thursday,Weekday,Jan,Q1,Lunch,southw_ckn_l,The Southwest Chicken Pizza,Chicken,L,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",Non-Veg,1,Small,20.75,20.75,Premium
26,11,2015-01-01,13:02:59,Thursday,Weekday,Jan,Q1,Lunch,bbq_ckn_l,The Barbecue Chicken Pizza,Chicken,L,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,20.75,20.75,Premium
27,11,2015-01-01,13:02:59,Thursday,Weekday,Jan,Q1,Lunch,cali_ckn_l,The California Chicken Pizza,Chicken,L,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",Non-Veg,1,Small,20.75,20.75,Premium
28,11,2015-01-01,13:02:59,Thursday,Weekday,Jan,Q1,Lunch,cali_ckn_m,The California Chicken Pizza,Chicken,M,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",Non-Veg,1,Small,16.75,16.75,Standard
29,11,2015-01-01,13:02:59,Thursday,Weekday,Jan,Q1,Lunch,pepperoni_l,The Pepperoni Pizza,Classic,L,"Mozzarella Cheese, Pepperoni",Non-Veg,1,Small,15.25,15.25,Standard
30,12,2015-01-01,13:04:41,Thursday,Weekday,Jan,Q1,Lunch,cali_ckn_l,The California Chicken Pizza,Chicken,L,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",Non-Veg,1,Small,20.75,20.75,Premium
31,12,2015-01-01,13:04:41,Thursday,Weekday,Jan,Q1,Lunch,cali_ckn_s,The California Chicken Pizza,Chicken,S,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",Non-Veg,1,Small,12.75,12.75,Standard
32,12,2015-01-01,13:04:41,Thursday,Weekday,Jan,Q1,Lunch,ckn_pesto_l,The Chicken Pesto Pizza,Chicken,L,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",Non-Veg,1,Small,20.75,20.75,Premium
33,12,2015-01-01,13:04:41,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_m,The Italian Supreme Pizza,Supreme,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,16.5,16.5,Standard
34,13,2015-01-01,13:11:55,Thursday,Weekday,Jan,Q1,Lunch,mexicana_l,The Mexicana Pizza,Veggie,L,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,20.25,20.25,Premium
35,14,2015-01-01,13:14:19,Thursday,Weekday,Jan,Q1,Lunch,the_greek_s,The Greek Pizza,Classic,S,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",Non-Veg,1,Small,12.0,12.0,Standard
36,15,2015-01-01,13:33:00,Thursday,Weekday,Jan,Q1,Lunch,big_meat_s,The Big Meat Pizza,Classic,S,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",Non-Veg,1,Small,12.0,12.0,Standard
37,15,2015-01-01,13:33:00,Thursday,Weekday,Jan,Q1,Lunch,five_cheese_l,The Five Cheese Pizza,Veggie,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",Veg,1,Small,18.5,18.5,Standard
38,15,2015-01-01,13:33:00,Thursday,Weekday,Jan,Q1,Lunch,soppressata_l,The Soppressata Pizza,Supreme,L,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",Non-Veg,1,Small,20.75,20.75,Premium
39,15,2015-01-01,13:33:00,Thursday,Weekday,Jan,Q1,Lunch,the_greek_s,The Greek Pizza,Classic,S,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",Non-Veg,1,Small,12.0,12.0,Standard
40,16,2015-01-01,13:34:07,Thursday,Weekday,Jan,Q1,Lunch,four_cheese_l,The Four Cheese Pizza,Veggie,L,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",Veg,1,Small,17.95,17.95,Standard
41,16,2015-01-01,13:34:07,Thursday,Weekday,Jan,Q1,Lunch,napolitana_s,The Napolitana Pizza,Classic,S,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",Non-Veg,1,Small,12.0,12.0,Standard
42,16,2015-01-01,13:34:07,Thursday,Weekday,Jan,Q1,Lunch,thai_ckn_l,The Thai Chicken Pizza,Chicken,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",Non-Veg,1,Small,20.75,20.75,Premium
43,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,bbq_ckn_l,The Barbecue Chicken Pizza,Chicken,L,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,20.75,20.75,Premium
44,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,calabrese_m,The Calabrese Pizza,Supreme,M,"?Duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",Non-Veg,1,Small,16.25,16.25,Standard
45,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,five_cheese_l,The Five Cheese Pizza,Veggie,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",Veg,1,Small,18.5,18.5,Standard
46,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,four_cheese_m,The Four Cheese Pizza,Veggie,M,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",Veg,1,Small,14.75,14.75,Standard
47,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_m,The Italian Supreme Pizza,Supreme,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,16.5,16.5,Standard
48,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,ital_veggie_s,The Italian Vegetables Pizza,Veggie,S,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",Veg,1,Small,12.75,12.75,Standard
49,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,mediterraneo_m,The Mediterranean Pizza,Veggie,M,"Spinach, Artichokes, Kalamata Olives, Sun-Dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",Veg,2,Medium,16.0,32.0,Standard
50,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,mexicana_l,The Mexicana Pizza,Veggie,L,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,20.25,20.25,Premium
51,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,peppr_salami_s,The Pepper Salami Pizza,Supreme,S,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",Non-Veg,1,Small,12.5,12.5,Standard
52,17,2015-01-01,13:53:00,Thursday,Weekday,Jan,Q1,Lunch,spinach_fet_l,The Spinach And Feta Pizza,Veggie,L,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",Veg,1,Small,20.25,20.25,Premium
53,18,2015-01-01,13:57:08,Thursday,Weekday,Jan,Q1,Lunch,napolitana_l,The Napolitana Pizza,Classic,L,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",Non-Veg,1,Small,20.5,20.5,Premium
54,19,2015-01-01,13:59:09,Thursday,Weekday,Jan,Q1,Lunch,ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,20.5,20.5,Premium
55,19,2015-01-01,13:59:09,Thursday,Weekday,Jan,Q1,Lunch,sicilian_l,The Sicilian Pizza,Supreme,L,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",Non-Veg,1,Small,20.25,20.25,Premium
56,20,2015-01-01,14:03:08,Thursday,Weekday,Jan,Q1,Lunch,big_meat_s,The Big Meat Pizza,Classic,S,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",Non-Veg,1,Small,12.0,12.0,Standard
57,20,2015-01-01,14:03:08,Thursday,Weekday,Jan,Q1,Lunch,five_cheese_l,The Five Cheese Pizza,Veggie,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",Veg,1,Small,18.5,18.5,Standard
58,21,2015-01-01,14:14:29,Thursday,Weekday,Jan,Q1,Lunch,ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,20.5,20.5,Premium
59,22,2015-01-01,14:16:26,Thursday,Weekday,Jan,Q1,Lunch,five_cheese_l,The Five Cheese Pizza,Veggie,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",Veg,1,Small,18.5,18.5,Standard
60,22,2015-01-01,14:16:26,Thursday,Weekday,Jan,Q1,Lunch,ital_cpcllo_m,The Italian Capocollo Pizza,Classic,M,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,16.0,16.0,Standard
61,22,2015-01-01,14:16:26,Thursday,Weekday,Jan,Q1,Lunch,southw_ckn_l,The Southwest Chicken Pizza,Chicken,L,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",Non-Veg,1,Small,20.75,20.75,Premium
62,23,2015-01-01,14:19:03,Thursday,Weekday,Jan,Q1,Lunch,southw_ckn_s,The Southwest Chicken Pizza,Chicken,S,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",Non-Veg,1,Small,12.75,12.75,Standard
63,24,2015-01-01,14:23:01,Thursday,Weekday,Jan,Q1,Lunch,bbq_ckn_m,The Barbecue Chicken Pizza,Chicken,M,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,16.75,16.75,Standard
64,24,2015-01-01,14:23:01,Thursday,Weekday,Jan,Q1,Lunch,ital_cpcllo_m,The Italian Capocollo Pizza,Classic,M,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,16.0,16.0,Standard
65,24,2015-01-01,14:23:01,Thursday,Weekday,Jan,Q1,Lunch,pepperoni_m,The Pepperoni Pizza,Classic,M,"Mozzarella Cheese, Pepperoni",Non-Veg,1,Small,12.5,12.5,Standard
66,24,2015-01-01,14:23:01,Thursday,Weekday,Jan,Q1,Lunch,prsc_argla_s,The Prosciutto And Arugula Pizza,Supreme,S,"Prosciutto Di San Daniele, Arugula, Mozzarella Cheese",Veg,1,Small,12.5,12.5,Standard
67,25,2015-01-01,14:44:44,Thursday,Weekday,Jan,Q1,Lunch,sicilian_m,The Sicilian Pizza,Supreme,M,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",Non-Veg,1,Small,16.25,16.25,Standard
68,25,2015-01-01,14:44:44,Thursday,Weekday,Jan,Q1,Lunch,thai_ckn_l,The Thai Chicken Pizza,Chicken,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",Non-Veg,1,Small,20.75,20.75,Premium
69,26,2015-01-01,14:54:26,Thursday,Weekday,Jan,Q1,Lunch,classic_dlx_s,The Classic Deluxe Pizza,Classic,S,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",Non-Veg,1,Small,12.0,12.0,Standard
70,26,2015-01-01,14:54:26,Thursday,Weekday,Jan,Q1,Lunch,veggie_veg_l,The Vegetables + Vegetables Pizza,Veggie,L,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",Veg,1,Small,20.25,20.25,Premium
71,27,2015-01-01,15:11:17,Thursday,Weekday,Jan,Q1,Afternoon,bbq_ckn_l,The Barbecue Chicken Pizza,Chicken,L,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,20.75,20.75,Premium
72,27,2015-01-01,15:11:17,Thursday,Weekday,Jan,Q1,Afternoon,classic_dlx_m,The Classic Deluxe Pizza,Classic,M,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",Non-Veg,1,Small,16.0,16.0,Standard
73,27,2015-01-01,15:11:17,Thursday,Weekday,Jan,Q1,Afternoon,spinach_fet_l,The Spinach And Feta Pizza,Veggie,L,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",Veg,1,Small,20.25,20.25,Premium
74,28,2015-01-01,15:35:46,Thursday,Weekday,Jan,Q1,Afternoon,ckn_alfredo_s,The Chicken Alfredo Pizza,Chicken,S,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",Non-Veg,1,Small,12.75,12.75,Standard
75,29,2015-01-01,15:41:01,Thursday,Weekday,Jan,Q1,Afternoon,green_garden_s,The Green Garden Pizza,Veggie,S,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",Veg,1,Small,12.0,12.0,Standard
76,30,2015-01-01,15:41:25,Thursday,Weekday,Jan,Q1,Afternoon,thai_ckn_l,The Thai Chicken Pizza,Chicken,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",Non-Veg,1,Small,20.75,20.75,Premium
77,31,2015-01-01,15:50:18,Thursday,Weekday,Jan,Q1,Afternoon,mexicana_m,The Mexicana Pizza,Veggie,M,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,16.0,16.0,Standard
78,31,2015-01-01,15:50:18,Thursday,Weekday,Jan,Q1,Afternoon,pepperoni_s,The Pepperoni Pizza,Classic,S,"Mozzarella Cheese, Pepperoni",Non-Veg,1,Small,9.75,9.75,Budget
79,32,2015-01-01,15:53:18,Thursday,Weekday,Jan,Q1,Afternoon,big_meat_s,The Big Meat Pizza,Classic,S,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",Non-Veg,1,Small,12.0,12.0,Standard
80,32,2015-01-01,15:53:18,Thursday,Weekday,Jan,Q1,Afternoon,green_garden_l,The Green Garden Pizza,Veggie,L,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",Veg,1,Small,20.25,20.25,Premium
81,32,2015-01-01,15:53:18,Thursday,Weekday,Jan,Q1,Afternoon,ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,20.5,20.5,Premium
82,32,2015-01-01,15:53:18,Thursday,Weekday,Jan,Q1,Afternoon,ital_supr_m,The Italian Supreme Pizza,Supreme,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,16.5,16.5,Standard
83,33,2015-01-01,15:54:08,Thursday,Weekday,Jan,Q1,Afternoon,bbq_ckn_l,The Barbecue Chicken Pizza,Chicken,L,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,20.75,20.75,Premium
84,33,2015-01-01,15:54:08,Thursday,Weekday,Jan,Q1,Afternoon,green_garden_s,The Green Garden Pizza,Veggie,S,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",Veg,1,Small,12.0,12.0,Standard
85,34,2015-01-01,16:21:21,Thursday,Weekday,Jan,Q1,Afternoon,the_greek_s,The Greek Pizza,Classic,S,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",Non-Veg,1,Small,12.0,12.0,Standard
86,35,2015-01-01,16:32:04,Thursday,Weekday,Jan,Q1,Afternoon,green_garden_m,The Green Garden Pizza,Veggie,M,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",Veg,1,Small,16.0,16.0,Standard
87,35,2015-01-01,16:32:04,Thursday,Weekday,Jan,Q1,Afternoon,pep_msh_pep_l,"The Pepperoni, Mushroom, And Peppers Pizza",Classic,L,"Pepperoni, Mushrooms, Green Peppers",Non-Veg,1,Small,17.5,17.5,Standard
88,35,2015-01-01,16:32:04,Thursday,Weekday,Jan,Q1,Afternoon,pepperoni_m,The Pepperoni Pizza,Classic,M,"Mozzarella Cheese, Pepperoni",Non-Veg,1,Small,12.5,12.5,Standard
89,35,2015-01-01,16:32:04,Thursday,Weekday,Jan,Q1,Afternoon,thai_ckn_l,The Thai Chicken Pizza,Chicken,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",Non-Veg,1,Small,20.75,20.75,Premium
90,36,2015-01-01,16:54:09,Thursday,Weekday,Jan,Q1,Afternoon,bbq_ckn_m,The Barbecue Chicken Pizza,Chicken,M,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,16.75,16.75,Standard
91,36,2015-01-01,16:54:09,Thursday,Weekday,Jan,Q1,Afternoon,classic_dlx_m,The Classic Deluxe Pizza,Classic,M,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",Non-Veg,1,Small,16.0,16.0,Standard
92,37,2015-01-01,16:56:09,Thursday,Weekday,Jan,Q1,Afternoon,ital_supr_l,The Italian Supreme Pizza,Supreme,L,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,20.75,20.75,Premium
93,37,2015-01-01,16:56:09,Thursday,Weekday,Jan,Q1,Afternoon,mexicana_l,The Mexicana Pizza,Veggie,L,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,20.25,20.25,Premium
94,38,2015-01-01,17:03:00,Thursday,Weekday,Jan,Q1,Afternoon,hawaiian_s,The Hawaiian Pizza,Classic,S,"Sliced Ham, Pineapple, Mozzarella Cheese",Non-Veg,1,Small,10.5,10.5,Budget
95,38,2015-01-01,17:03:00,Thursday,Weekday,Jan,Q1,Afternoon,ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",Veg,1,Small,20.5,20.5,Premium
96,39,2015-01-01,17:07:23,Thursday,Weekday,Jan,Q1,Afternoon,ital_supr_l,The Italian Supreme Pizza,Supreme,L,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,20.75,20.75,Premium
97,40,2015-01-01,17:14:36,Thursday,Weekday,Jan,Q1,Afternoon,four_cheese_l,The Four Cheese Pizza,Veggie,L,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",Veg,1,Small,17.95,17.95,Standard
98,40,2015-01-01,17:14:36,Thursday,Weekday,Jan,Q1,Afternoon,southw_ckn_s,The Southwest Chicken Pizza,Chicken,S,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",Non-Veg,1,Small,12.75,12.75,Standard
99,41,2015-01-01,17:15:20,Thursday,Weekday,Jan,Q1,Afternoon,four_cheese_m,The Four Cheese Pizza,Veggie,M,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",Veg,1,Small,14.75,14.75,Standard
100,41,2015-01-01,17:15:20,Thursday,Weekday,Jan,Q1,Afternoon,green_garden_s,The Green Garden Pizza,Veggie,S,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",Veg,1,Small,12.0,12.0,Standard
101,42,2015-01-01,17:28:09,Thursday,Weekday,Jan,Q1,Afternoon,big_meat_s,The Big Meat Pizza,Classic,S,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",Non-Veg,1,Small,12.0,12.0,Standard
102,42,2015-01-01,17:28:09,Thursday,Weekday,Jan,Q1,Afternoon,five_cheese_l,The Five Cheese Pizza,Veggie,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",Veg,1,Small,18.5,18.5,Standard
